Issuer Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Nominal,Price,Location,Exchange,Market Currency
GEV,GE VERNOVA INC,Industrials,Equity,"267,628,764.08",0.23,"267,628,764.08","411,914.00",649.72,United States,New York Stock Exchange Inc.,USD
C,CITIGROUP INC,Financials,Equity,"259,849,624.32",0.23,"259,849,624.32","2,839,266.00",91.52,United States,New York Stock Exchange Inc.,USD
7203,TOYOTA MOTOR CORP,Consumer Discretionary,Equity,"259,089,615.79",0.23,"259,089,615.79","14,259,600.00",18.17,Japan,Tokyo Stock Exchange,JPY
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,"256,537,053.00",0.22,"256,537,053.00","1,383,695.00",185.40,United States,NASDAQ,USD
MS,MORGAN STANLEY,Financials,Equity,"256,138,642.20",0.22,"256,138,642.20","1,823,570.00",140.46,United States,New York Stock Exchange Inc.,USD
ISRG,INTUITIVE SURGICAL INC,Health Care,Equity,"255,988,728.00",0.22,"255,988,728.00","536,664.00",477.00,United States,NASDAQ,USD
UBER,UBER TECHNOLOGIES INC,Industrials,Equity,"253,886,640.07",0.22,"253,886,640.07","2,840,213.00",89.39,United States,New York Stock Exchange Inc.,USD
AXP,AMERICAN EXPRESS,Financials,Equity,"253,555,709.76",0.22,"253,555,709.76","854,759.00",296.64,United States,New York Stock Exchange Inc.,USD
BA,BOEING,Industrials,Equity,"251,395,278.88",0.22,"251,395,278.88","1,118,008.00",224.86,United States,New York Stock Exchange Inc.,USD
SCHW,CHARLES SCHWAB CORP,Financials,Equity,"248,218,525.72",0.22,"248,218,525.72","2,573,813.00",96.44,United States,New York Stock Exchange Inc.,USD
QCOM,QUALCOMM INC,Information Technology,Equity,"244,725,043.77",0.21,"244,725,043.77","1,668,087.00",146.71,United States,NASDAQ,USD
BLK,BLACKROCK INC,Financials,Equity,"244,521,380.04",0.21,"244,521,380.04","220,361.00","1,109.64",United States,New York Stock Exchange Inc.,USD
