Ticker,Name,Sector,P/E,P/B,PEG,D/E,ROIC,Dividend Yield %,1M %,1Y %,Peter Lynch,Personal Model
DUK,Duke Energy Corporation (Holdin,Utilities,20.51,1.95,2.79,1.7,0.07,0.03,6.96,15.42,0.72,25.0
MCO,Moody's Corporation,Financial Services,43.78,23.4,2.72,1.8,0.29,0.01,2.6,11.66,0.74,50.0
KKR,KKR & Co. Inc.,Financial Services,67.3,5.08,0.8,0.75,0.11,0.01,2.48,26.0,2.49,37.5
BP..L,,,,,,0.0,,,,,0.0,12.5
CS,,,,,,0.0,,,,,0.0,12.5
APP,Applovin Corporation,Communication Services,62.81,132.36,2.83,3.01,0.59,0.0,29.27,489.27,0.71,62.5
NOC,Northrop Grumman Corporation,Industrials,21.46,5.38,3.84,1.17,0.18,0.01,14.41,19.62,0.52,75.0
MMM,3M Company,Industrials,21.32,19.03,3.46,3.17,0.33,0.02,-1.72,26.02,0.58,50.0
SHW,Sherwin-Williams Company (The),Basic Materials,34.94,19.88,3.83,3.09,0.24,0.01,0.18,2.73,0.52,62.5
CSL.AX,CSL FPO [CSL],Healthcare,31.17,6.81,,0.58,0.09,0.01,7.05,-13.29,0.0,37.5
7011.T,MITSUBISHI HEAVY INDUSTRIES,Industrials,52.91,5.47,,0.46,0.06,0.01,17.62,129.8,0.0,12.5
AJG,Arthur J. Gallagher & Co.,Financial Services,43.79,3.22,1.18,0.58,0.07,0.01,-8.19,3.18,1.7,50.0
EL,"Estee Lauder Companies, Inc. (T",Consumer Defensive,,7.51,1.73,2.16,-0.04,0.02,4.71,3.99,0.0,25.0
VST,Vistra Corp.,Utilities,32.03,29.26,6.45,3.66,0.2,0.0,2.59,158.82,0.31,37.5
RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical,22.43,8.93,1.11,2.11,0.18,0.01,-9.63,95.67,1.8,87.5
BK,The Bank of New York Mellon Cor,Financial Services,15.76,1.88,1.18,0.0,,0.02,11.38,65.42,1.7,62.5
6098.T,RECRUIT HOLDINGS CO LTD,Communication Services,31.69,8.72,3.05,0.14,0.12,0.0,1.98,9.69,0.66,87.5
INGA,,,,,,0.0,,,,,0.0,12.5
PNC,"PNC Financial Services Group, I",Financial Services,12.97,1.44,2.06,0.0,,0.03,-2.42,15.71,0.97,50.0
CI,The Cigna Group,Healthcare,15.07,1.82,0.53,0.76,0.12,0.02,-11.26,-16.76,3.76,62.5
ENEL,,,,,,0.0,,,,,0.0,12.5
NAB.AX,NAT. BANK FPO [NAB],Financial Services,17.18,1.89,,0.0,,0.04,-2.06,14.03,0.0,25.0
ENR,"Energizer Holdings, Inc.",Industrials,8.34,10.91,,18.92,0.12,0.04,30.11,0.13,0.0,50.0
RMS,,,,,,0.0,,,,,0.0,12.5
HOOD,"Robinhood Markets, Inc.",Financial Services,58.19,12.61,,1.61,0.07,0.0,21.25,539.68,0.0,25.0
CTAS,Cintas Corporation,Industrials,51.42,19.46,4.19,0.57,0.33,0.01,4.45,20.68,0.48,50.0
D05.SI,DBS,Financial Services,12.88,2.13,4.73,0.0,,0.05,11.15,60.36,0.43,50.0
TDG,Transdigm Group Incorporated,Industrials,46.08,-13.78,4.06,0.0,0.2,0.0,-8.95,17.75,0.49,37.5
BMO.TO,BANK OF MONTREAL,Financial Services,14.4,1.33,,0.0,,0.04,1.36,45.51,0.0,25.0
EMR,Emerson Electric Company,Industrials,34.12,3.76,1.66,0.75,0.09,0.02,-5.05,30.31,1.21,62.5
CVS,CVS Health Corporation,Healthcare,18.26,1.07,0.66,1.07,0.07,0.04,-0.61,20.02,3.05,50.0
FI,"Fiserv, Inc.",Technology,22.28,2.87,0.63,1.15,0.12,0.0,-22.06,-17.54,3.16,75.0
GSK.L,GSK PLC ORD 31 1/4P,Healthcare,16.81,381.81,0.38,1.21,0.36,0.0,-2.07,-10.51,5.32,87.5
